ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403	ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OGOL01000528|OGOL01000528.1,0,42364,UniRef50_A0A1D9P5I8,29983,33778
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ914910.16481,1850,37072,UniRef50_A0A1D9P5I8,13124,16919
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|UPNJ01000613|UPNJ01000613.1,2046,37125,UniRef50_A0A1D9P5I8,13320,17115
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ833136.675,0,28291,UniRef50_A0A1D9P5I8,6726,10521
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918634.1593,7027,32487,UniRef50_A0A1D9P5I8,12353,16148
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918398.22620,0,37895,UniRef50_A0A1D9P5I8,32171,35966
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918109.19300,0,45165,UniRef50_A0A1D9P5I8,30013,33808
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ1108172.705,7812,38843,UniRef50_A0A1D9P5I8,8953,12748
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ921040.40371,29942,92498,UniRef50_A0A1D9P5I8,31286,35081
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	Ga0167476_100848,0,24093,UniRef50_A0A1D9P5I8,20031,23826
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ919233.37167,372,60096,UniRef50_A0A1D9P5I8,13173,16968
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ920776.11589,28237,62468,UniRef50_A0A1D9P5I8,29516,33311
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ909709.70616,13361,52091,UniRef50_A0A1D9P5I8,26132,29912
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ922185.38275,27920,65594,UniRef50_A0A1D9P5I8,29264,33059
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ1108172.705,8275,38843,UniRef50_A0A1D9P5I8,8953,12748
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ916567.26695,1754,33200,UniRef50_A0A1D9P5I8,1896,5691
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ914658.69675,8244,36923,UniRef50_A0A1D9P5I8,8922,12717
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ857994.88,112834,149208,UniRef50_A0A1D9P5I8,114299,118094
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ857996.451,30389,58911,UniRef50_A0A1D9P5I8,31069,34864
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ951572.2,40149,91408,UniRef50_A0A1D9P5I8,87470,91265
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ984642.11383,29582,91557,UniRef50_A0A1D9P5I8,30345,34140
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|ULMQ01022153|ULMQ01022153.1,0,31353,UniRef50_A0A1D9P5I8,27283,31078
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OOQT01000019|OOQT01000019.1,0,31061,UniRef50_A0A1D9P5I8,26991,30786
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918353.48623,0,28595,UniRef50_A0A1D9P5I8,24119,27914
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	Ga0243789_1000042,103566,154825,UniRef50_A0A1D9P5I8,150622,154417
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ922185.38275,28501,65594,UniRef50_A0A1D9P5I8,29264,33059
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ920776.11589,28818,62468,UniRef50_A0A1D9P5I8,29516,33311
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OPCD01000066|OPCD01000066.1,30148,71166,UniRef50_A0A1D9P5I8,30912,34707
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ENA|OIXG01000065|OIXG01000065.1,0,39965,UniRef50_A0A1D9P5I8,35471,39266
ENA|OORK01000050|OORK01000050.1,0,31570,UniRef50_A0A1D9P5I8,27037,30832	ERZ918398.22620,0,37432,UniRef50_A0A1D9P5I8,32171,35966
ERZ1048703.53,0,32269,UniRef50_A0A2N2WBK1,26907,30726	ERZ1048703.53,0,32269,UniRef50_A0A2N2WBK1,26907,30726
Ga0134376_100037,97472,145765,UniRef50_A0A413P550,139946,143489	Ga0134376_100037,97472,145765,UniRef50_A0A413P550,139946,143489
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UESI01000368|UESI01000368.1,0,36534,UniRef50_A0A1T4JZ89,27761,31445
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ917173.64102,0,41165,UniRef50_A0A1T4JZ89,380,4064
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OWDP01001029|OWDP01001029.1,0,20873,UniRef50_A0A1T4JZ89,196,3880
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ970785.10,0,79016,UniRef50_A0A1T4JZ89,74254,77938
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|ULUY01031426|ULUY01031426.1,0,25439,UniRef50_A0A1T4JZ89,7772,11456
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UYDV01000369|UYDV01000369.1,0,29331,UniRef50_A0A1T4JZ89,15431,19115
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|ORSS01001004|ORSS01001004.1,0,31206,UniRef50_A0A1T4JZ89,18136,21820
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OLVX01001298|OLVX01001298.1,0,21835,UniRef50_A0A1T4JZ89,16560,20244
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OGPD01000832|OGPD01000832.1,0,30722,UniRef50_A0A1T4JZ89,9386,13070
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OORF01000053|OORF01000053.1,0,66719,UniRef50_A0A1T4JZ89,53292,56976
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OBKS01000015|OBKS01000015.1,111809,181851,UniRef50_A0A1T4JZ89,160747,164431
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|ULVV01037743|ULVV01037743.1,112919,183344,UniRef50_A0A1T4JZ89,161791,165475
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ916214.135047,0,67365,UniRef50_A0A1T4JZ89,45980,49664
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918221.107139,0,69268,UniRef50_A0A1T4JZ89,16720,20329
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918425.26054,0,81592,UniRef50_A0A1T4JZ89,764,4448
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|ULWK01055822|ULWK01055822.1,0,30964,UniRef50_A0A1T4JZ89,18543,22227
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ825159.1164,0,27154,UniRef50_A0A1T4JZ89,21538,25222
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|ULRW01020622|ULRW01020622.1,0,31892,UniRef50_A0A1T4JZ89,9374,13058
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OBKV01000021|OBKV01000021.1,111809,185257,UniRef50_A0A1T4JZ89,160747,164431
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UXRR01000008|UXRR01000008.1,200126,282874,UniRef50_A0A1T4JZ89,249064,252748
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UXRA01000523|UXRA01000523.1,0,27543,UniRef50_A0A1T4JZ89,23389,27073
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UXRQ01000003|UXRQ01000003.1,113119,253451,UniRef50_A0A1T4JZ89,161991,165675
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OAWJ01000002|OAWJ01000002.1,203052,373089,UniRef50_A0A1T4JZ89,251990,255674
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UXSI01000092|UXSI01000092.1,22789,97148,UniRef50_A0A1T4JZ89,71727,75411
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UYFE01000239|UYFE01000239.1,0,75567,UniRef50_A0A1T4JZ89,62497,66181
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|OAWS01000074|OAWS01000074.1,0,81859,UniRef50_A0A1T4JZ89,67620,71304
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918564.9777,0,73470,UniRef50_A0A1T4JZ89,764,4448
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918365.49304,141622,318154,UniRef50_A0A1T4JZ89,190560,194244
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918468.5846,141624,318160,UniRef50_A0A1T4JZ89,190562,194246
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ941943.39629,113004,265288,UniRef50_A0A1T4JZ89,161687,165371
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ENA|UXQU01000001|UXQU01000001.1,104798,281440,UniRef50_A0A1T4JZ89,153736,157420
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ917958.37979,141514,318057,UniRef50_A0A1T4JZ89,190451,194135
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918109.17425,141623,318152,UniRef50_A0A1T4JZ89,190561,194245
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ942061.15731,249264,386060,UniRef50_A0A1T4JZ89,373173,376857
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918664.58655,113623,250675,UniRef50_A0A1T4JZ89,237533,241217
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918940.16253,249952,382510,UniRef50_A0A1T4JZ89,373862,377546
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918242.67913,0,25979,UniRef50_A0A1T4JZ89,21499,25183
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918147.68565,0,34829,UniRef50_A0A1T4JZ89,21687,25371
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918398.92927,0,32571,UniRef50_A0A1T4JZ89,19429,23113
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918342.79833,0,24107,UniRef50_A0A1T4JZ89,918,4602
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ916268.26518,0,114089,UniRef50_A0A1T4JZ89,787,4471
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918368.31767,287,138430,UniRef50_A0A1T4JZ89,10841,14525
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	Ga0245305_1000013,0,136661,UniRef50_A0A1T4JZ89,9066,12750
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ857959.2,31811,208343,UniRef50_A0A1T4JZ89,155720,159404
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	Ga0245327_100003,249231,425764,UniRef50_A0A1T4JZ89,373141,376825
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ941870.40024,0,150804,UniRef50_A0A1T4JZ89,98436,102120
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	Ga0245307_1000002,249382,425272,UniRef50_A0A1T4JZ89,373286,376970
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ916037.16920,167860,344452,UniRef50_A0A1T4JZ89,291779,295463
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ894267.27,0,85351,UniRef50_A0A1T4JZ89,782,4466
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918367.37560,141619,253772,UniRef50_A0A1T4JZ89,190557,194241
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ826963.39,0,98563,UniRef50_A0A1T4JZ89,45940,49624
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ825488.230,0,71136,UniRef50_A0A1T4JZ89,18588,22197
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918299.64231,235122,379088,UniRef50_A0A1T4JZ89,365946,369630
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ919530.17011,0,114657,UniRef50_A0A1T4JZ89,62034,65718
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ914840.60723,0,24939,UniRef50_A0A1T4JZ89,750,4434
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ942085.20790,0,91700,UniRef50_A0A1T4JZ89,39332,43016
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ942428.6710,0,63891,UniRef50_A0A1T4JZ89,56513,60197
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ917981.59422,141524,278019,UniRef50_A0A1T4JZ89,197376,201060
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ910665.66636,0,68061,UniRef50_A0A1T4JZ89,9231,12441
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ931363.1,0,90777,UniRef50_A0A1T4JZ89,38154,41838
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ917999.49761,113103,206571,UniRef50_A0A1T4JZ89,165521,169205
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ917976.94119,142404,229792,UniRef50_A0A1T4JZ89,192689,196373
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ909673.73905,0,88719,UniRef50_A0A1T4JZ89,36096,39780
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	Ga0245150_100061,0,70921,UniRef50_A0A1T4JZ89,18373,21982
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ827432.654,0,48066,UniRef50_A0A1T4JZ89,2169,5853
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ918401.5772,237223,373228,UniRef50_A0A1T4JZ89,361133,364817
ENA|UZQW01000403|UZQW01000403.1,0,28192,UniRef50_A0A1T4JZ89,447,4131	ERZ919757.21626,0,89666,UniRef50_A0A1T4JZ89,37680,41364
